lc_small_channel_name,400留资,AIGC名片,APP,APP-试乘试驾,APP-预约上门试驾,APP报名,APP留资,APP行为激活,B站官号,B站效果应用推广,B站效果投放,B站达人视频,CSOP活动,CSOP活动（门店）,JD汽车,LS6-66度客户激活,Popup,Popup（门店）,三垂投放（区域）,上财（门店）,企微投放（门店）,信息流-短视频,其他历史线索,其他活动（门店）,内部员工,历史数据,历史数据1,历史线索,友享,品牌-微信视频号,品牌投放-58汽车,品牌投放-太平洋汽车,品牌投放-头条,品牌投放-微信搜一搜,品牌投放-微博,品牌投放-懂车帝,品牌投放-抖音,品牌投放-易车,品牌投放-汽车之家,品牌投放-爱卡汽车,品牌投放-百度品专,品牌投放-百度地图,品牌投放-百度购车宝,商圈主动拓客,地推,地推（门店）,大模型线索挖掘,头条-号外,字节APP,字节效果-星声场搜索,字节效果-星声场留资,字节效果-盘龙留资,字节效果-群邑留资,字节效果-聚胜搜索,字节效果-聚胜留资,官网-试乘试驾,小程序留资,小红书-效果,小红书-矩阵,小红书圈层活动,小红书私信,巨懂车,异地线索,微信公众号,微信小程序,微信小程序-试乘试驾,微信服务号-,心愿单,总部孵化,总部孵化线索,意向金,懂车帝,懂车帝-效果联盟,懂车帝卖车通,懂车帝卖车通-400,懂车帝增效,懂车帝生服,战败激活,户外电梯广告,抖音,抖音-内容热推,抖音-矩阵,抖音SCRM,抖音小程序,抖音小程序-试乘试驾,抖音引流短视频,抖音本地生活服务,抖音来客电商,抖音达人运营,新媒体-小红书,新媒体-快手,新媒体-抖音,新媒体-视频号,旅游行业,易车,易车-效果,易车-达播,易车伙伴400,易车伙伴网单,智己生活家,智己福利社,朋友圈投放（区域）,汽车之家,汽车之家-效果,汽车之家车商汇,汽车之家车商汇400,汽车金融平台,活动自然参与,活动邀约用户,用户裂变,百度-搜索SEM竞价,直接大定,直播业务(Group),私人管家,经销商保客,老带新活动,腾讯-朋友圈广告,腾讯ADQ-新意,腾讯ADQ-有车,腾讯ADQ-海南明舟,腾讯ADQ-盘龙,腾讯ADQ-盟聚,腾讯ADQ-省广,腾讯ADQ-聚胜,腾讯ADQ-蔚蓝,腾讯效果-盟聚,自然客流,视频号-达人矩阵,试驾会（门店）,车主活动推荐,车展,车展（门店）,达人获客-潮驱,邀请落地页-试乘试驾,门店战败激活,集团客户,高意向线索
400留资,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,13,1,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,9,0,0,2,0,0,0,0,1,0,0,4,0,0,2,0,1,0,1,0,5,5,3,0,0,0,0,0,0,0,1,0,0,0,0,44,0,0,2,0,2,0,0,2,0,0
AIGC名片,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
APP,1,0,0,147,1,0,119,89,0,1,0,0,0,0,4,1,0,111,0,0,1,0,6,0,0,0,0,2,0,0,1,0,0,1,0,1,1,1,0,0,0,0,10,2,0,48,0,0,3,0,0,0,1,0,0,0,18,0,3,0,7,0,3,0,1,14,0,136,16,13,288,64,1,43,8,0,0,102,0,0,0,59,0,0,0,0,0,0,0,42,0,287,4,0,52,4,0,8,57,3,0,2,29,0,23,6,0,84,0,59,1,195,30,11,4,1,0,0,0,1,0,0,0,1,0,0,1240,0,0,37,1,44,1,1,20,0,0
APP-试乘试驾,7,0,347,0,1,5,73,60,0,6,1,0,0,0,1,19,2,473,1,0,2,2,82,8,12,3,0,6,0,0,3,1,4,4,0,16,16,0,9,2,0,1,13,7,0,188,0,1,23,12,57,6,42,0,2,30,46,4,10,1,29,1,5,13,25,147,12,378,15,5,511,82,26,227,36,0,1,88,4,0,5,274,5,17,11,1,0,0,1,79,1,510,4,0,67,8,2,18,129,11,0,3,42,3,121,47,0,269,11,226,16,307,276,7,1,14,2,8,6,46,29,15,5,66,1,0,3424,0,29,81,18,286,2,10,39,2,1
APP留资,2,0,46,71,0,0,0,31,1,4,0,0,0,0,0,0,0,59,1,0,0,2,10,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,2,0,16,0,0,13,0,1,0,0,0,0,1,13,0,5,0,3,0,1,1,3,7,1,41,7,5,126,17,0,28,4,0,0,21,0,0,0,24,0,4,0,0,0,0,0,21,0,120,0,0,14,3,0,9,18,1,0,2,18,0,20,3,0,34,0,23,0,70,23,3,1,1,0,3,0,1,0,0,0,7,0,0,564,0,1,12,2,26,0,0,7,0,0
APP行为激活,2,0,62,76,0,2,49,0,0,1,0,1,0,1,0,2,4,111,1,0,0,1,27,0,0,1,0,8,0,0,0,0,0,2,0,1,0,0,1,0,1,0,8,4,0,21,0,0,9,0,2,0,2,0,0,6,33,0,6,0,7,0,0,0,9,41,2,99,25,13,330,31,0,49,6,0,0,54,0,0,1,49,0,3,0,0,0,0,1,38,0,191,1,0,16,3,0,7,33,0,0,0,29,0,23,8,0,64,1,59,0,144,44,9,1,7,0,3,0,2,1,2,0,6,0,0,1016,0,4,26,4,47,0,3,17,0,0
B站官号,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
B站效果应用推广,0,0,2,7,0,0,3,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2,0,7,4,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,2,0,0,0,0,0
B站达人视频,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JD汽车,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,5,6,0,0,1,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,1,0,0,2,0,0
LS6-66度客户激活,1,0,33,21,0,0,16,10,0,1,0,0,0,0,0,0,1,23,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,5,0,0,9,0,2,0,0,0,0,2,12,0,1,0,0,1,0,0,1,10,0,13,4,6,80,7,0,11,0,0,0,15,0,0,0,13,0,2,0,0,0,0,0,1,0,26,0,0,2,1,0,4,4,0,0,1,3,0,2,0,0,20,0,10,0,13,19,2,0,0,0,2,0,2,1,0,0,6,0,0,186,0,0,2,2,8,0,0,2,0,0
