lc_small_channel_name,主锁单标记_New,md5_辅助锁单_New,Total Contribution_New,Assist Ratio_New,主锁单标记_2025,md5_辅助锁单_2025,Total Contribution_2025,Assist Ratio_2025,Direct Lock Change,Assisted Lock Change,Ratio Change
直播客服,9.0,25.0,34.0,0.7352941176470589,309.0,640.0,949.0,0.6743940990516333,-300.0,-615.0,0.0609000185954256
直播基地-N个点子,4.0,14.0,18.0,0.7777777777777778,528.0,1513.0,2041.0,0.7413032827045566,-524.0,-1499.0,0.0364744950732212
直播基地-梦想驾,8.0,9.0,17.0,0.5294117647058824,317.0,271.0,588.0,0.4608843537414966,-309.0,-262.0,0.06852741096438575
IM智己汽车,6.0,10.0,16.0,0.625,472.0,1373.0,1845.0,0.7441734417344174,-466.0,-1363.0,-0.11917344173441735
IM智己达人车主种草,1.0,13.0,14.0,0.9285714285714286,99.0,129.0,228.0,0.5657894736842105,-98.0,-116.0,0.3627819548872181
直播基地-吉生活,6.0,6.0,12.0,0.5,171.0,534.0,705.0,0.7574468085106383,-165.0,-528.0,-0.2574468085106383
视频号-智己汽车官方直播间,2.0,7.0,9.0,0.7777777777777778,0.0,0.0,0.0,0.0,2.0,7.0,0.7777777777777778
智己汽车官方直播,2.0,5.0,7.0,0.7142857142857143,248.0,538.0,786.0,0.6844783715012722,-246.0,-533.0,0.02980734278444208
IM智己|未来智舱,0.0,7.0,7.0,1.0,127.0,345.0,472.0,0.7309322033898306,-127.0,-338.0,0.26906779661016944
直播基地-云梯,5.0,2.0,7.0,0.2857142857142857,52.0,138.0,190.0,0.7263157894736842,-47.0,-136.0,-0.44060150375939855
微信视频号-直播,5.0,1.0,6.0,0.16666666666666666,115.0,148.0,263.0,0.5627376425855514,-110.0,-147.0,-0.39607097591888474
直播基地-星星,1.0,0.0,1.0,0.0,42.0,73.0,115.0,0.6347826086956522,-41.0,-73.0,-0.6347826086956522
直播基地-蓝思,0.0,1.0,1.0,1.0,35.0,52.0,87.0,0.5977011494252874,-35.0,-51.0,0.4022988505747126
抖音达人直播,0.0,0.0,0.0,0.0,2.0,11.0,13.0,0.8461538461538461,-2.0,-11.0,-0.8461538461538461
快手直播,0.0,0.0,0.0,0.0,3.0,4.0,7.0,0.5714285714285714,-3.0,-4.0,-0.5714285714285714
直播基地-嘉鹿,0.0,0.0,0.0,0.0,31.0,68.0,99.0,0.6868686868686869,-31.0,-68.0,-0.6868686868686869
直播基地-新华网,0.0,0.0,0.0,0.0,122.0,239.0,361.0,0.6620498614958449,-122.0,-239.0,-0.6620498614958449
小红书直播,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
直播基地-祥隆,0.0,0.0,0.0,0.0,27.0,159.0,186.0,0.8548387096774194,-27.0,-159.0,-0.8548387096774194
团购-智己官方直播间,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
矩阵号直播,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B站-直播,0.0,0.0,0.0,0.0,3.0,5.0,8.0,0.625,-3.0,-5.0,-0.625
