session,start_time,end_time,duration,unique_leads,全场景商机数,曝光人数,场观,小风车点击次数,广告消耗,CPL,CPLO,点击转化率,曝光转化率
2月2日9点,2026-02-02 09:00:00,2026-02-02 12:00:09,0 days 03:00:09,29,51.0,35021,4449.0,239.0,6849.15,236.17758620689654,134.2970588235294,0.12133891213389121,0.0008280745838211359
2月2日12点,2026-02-02 12:00:00,2026-02-02 14:59:55,0 days 02:59:55,8,25.0,37908,4399.0,167.0,6663.35,832.91875,266.534,0.04790419161676647,0.00021103724807428512
2月2日16点,2026-02-02 16:00:00,2026-02-02 18:59:57,0 days 02:59:57,13,30.0,47996,4539.0,186.0,5558.56,427.5815384615385,185.28533333333334,0.06989247311827956,0.00027085590465872155
2月2日20点,2026-02-02 20:00:00,2026-02-02 23:00:13,0 days 03:00:13,24,56.0,57758,9143.0,121.0,8346.0,347.75,149.03571428571428,0.19834710743801653,0.00041552685342290243
2月3日8点,2026-02-03 08:00:00,2026-02-03 11:00:35,0 days 03:00:35,10,26.0,27958,2965.0,124.0,5725.01,572.501,220.1926923076923,0.08064516129032258,0.0003576793762071679
2月3日12点,2026-02-03 12:00:00,2026-02-03 14:59:48,0 days 02:59:48,19,51.0,27166,3463.0,163.0,4477.48,235.65684210526314,87.79372549019607,0.1165644171779141,0.0006994036663476404
2月3日16点,2026-02-03 16:00:00,2026-02-03 18:59:51,0 days 02:59:51,22,48.0,60079,8738.0,224.0,9008.78,409.49,187.68291666666667,0.09821428571428571,0.0003661845237104479
2月3日20点,2026-02-03 20:00:00,2026-02-03 22:59:56,0 days 02:59:56,26,43.0,89067,14963.0,193.0,11156.96,429.1138461538461,259.4641860465116,0.13471502590673576,0.0002919150751681319
2月4日9点,2026-02-04 09:00:00,2026-02-04 12:00:22,0 days 03:00:22,26,61.0,75717,9077.0,184.0,10754.63,413.63961538461535,176.30540983606556,0.14130434782608695,0.0003433839164256376
2月4日12点,2026-02-04 12:00:00,2026-02-04 14:59:35,0 days 02:59:35,21,44.0,72157,10722.0,167.0,10128.81,482.3242857142857,230.20022727272726,0.12574850299401197,0.0002910320551020691
