session,start_time,end_time,duration,unique_leads,全场景商机数,曝光人数,场观,小风车点击次数,广告消耗,CPL,CPLO,点击转化率,曝光转化率
2月2日7点,2026-02-02 07:00:00,2026-02-02 09:59:46,0 days 02:59:46,80,83.0,426297.0,17112.0,746.0,11014.36,137.67950000000002,132.70313253012048,0.10723860589812333,0.00018766259204263693
2月2日11点,2026-02-02 11:00:00,2026-02-02 14:00:00,0 days 03:00:00,68,72.0,427992.0,23884.0,670.0,10771.93,158.41073529411764,149.61013888888888,0.10149253731343283,0.00015888147442008263
2月3日8点,2026-02-03 08:00:00,2026-02-03 10:59:59,0 days 02:59:59,59,63.0,391214.0,11677.0,542.0,10601.04,179.67864406779663,168.27047619047622,0.1088560885608856,0.00015081259873112924
2月3日11点,2026-02-03 11:00:00,2026-02-03 14:00:05,0 days 03:00:05,60,70.0,316510.0,25820.0,564.0,10734.55,178.90916666666666,153.35071428571428,0.10638297872340426,0.0001895674702221099
2月4日7点,2026-02-04 07:00:00,2026-02-04 09:59:44,0 days 02:59:44,48,56.0,310776.0,32082.0,604.0,10929.43,227.69645833333334,195.16839285714286,0.07947019867549669,0.00015445208124179472
2月4日11点,2026-02-04 11:00:00,2026-02-04 13:59:58,0 days 02:59:58,14,27.0,139047.0,18679.0,575.0,6393.41,456.67214285714283,236.79296296296295,0.02434782608695652,0.00010068537976367702
2月5日7点,2026-02-05 07:00:00,2026-02-05 09:59:23,0 days 02:59:23,32,47.0,168297.0,26756.0,633.0,7155.32,223.60375,152.24085106382978,0.05055292259083728,0.00019014005003060067
2月5日11点,2026-02-05 11:00:00,2026-02-05 14:00:04,0 days 03:00:04,27,48.0,177240.0,24189.0,507.0,8563.43,317.1640740740741,178.40479166666668,0.05325443786982249,0.00015233581584292484
2月6日7点,2026-02-06 07:00:00,2026-02-06 09:59:41,0 days 02:59:41,44,57.0,288415.0,37220.0,699.0,9957.76,226.31272727272727,174.69754385964913,0.06294706723891273,0.00015255794601529046
2月6日11点,2026-02-06 11:00:00,2026-02-06 13:59:57,0 days 02:59:57,27,50.0,224284.0,21165.0,485.0,8662.81,320.8448148148148,173.25619999999998,0.05567010309278351,0.00012038308573059157
2月7日8点,2026-02-07 08:00:00,2026-02-07 11:00:17,0 days 03:00:17,42,55.0,189360.0,33157.0,310.0,9768.04,232.57238095238097,177.60072727272728,0.13548387096774195,0.00022179974651457543
2月7日12点,2026-02-07 12:00:00,2026-02-07 15:00:31,0 days 03:00:31,23,30.0,104329.0,11597.0,212.0,5281.24,229.6191304347826,176.0413333333333,0.10849056603773585,0.00022045644068283986
2月9日9点,2026-02-09 09:00:00,2026-02-09 11:19:13,0 days 02:19:13,6,12.0,50842.0,10537.0,107.0,3257.4,542.9,271.45,0.056074766355140186,0.0001180126666928917
2月9日12点,2026-02-09 12:00:00,2026-02-09 15:00:04,0 days 03:00:04,18,22.0,65498.0,8596.0,173.0,4645.83,258.1016666666667,211.1740909090909,0.10404624277456648,0.00027481755168096736
2月10日8点,2026-02-10 08:00:00,2026-02-10 10:59:57,0 days 02:59:57,23,40.0,77368.0,17121.0,148.0,6294.81,273.68739130434784,157.37025,0.1554054054054054,0.00029728052941784715
2月10日12点,2026-02-10 12:00:00,2026-02-10 14:59:59,0 days 02:59:59,16,27.0,66920.0,7682.0,114.0,4084.67,255.291875,151.28407407407408,0.14035087719298245,0.00023909145248057382
2月12日8点,2026-02-12 08:00:00,2026-02-12 11:00:01,0 days 03:00:01,53,65.0,321649.0,41295.0,325.0,13540.99,255.49037735849055,208.32292307692308,0.16307692307692306,0.0001647758892457306
2月12日12点,2026-02-12 12:00:00,2026-02-12 14:59:39,0 days 02:59:39,43,60.0,267109.0,27852.0,262.0,11614.73,270.11,193.57883333333334,0.16412213740458015,0.00016098296949934297
2月24日7点,2026-02-24 07:00:00,2026-02-24 09:59:45,0 days 02:59:45,113,190.0,573715.0,46354.0,1169.0,25239.26,223.35628318584068,132.83821052631578,0.09666381522668947,0.00019696190617292557
2月24日11点,2026-02-24 11:00:00,2026-02-24 13:59:59,0 days 02:59:59,123,187.0,528427.0,23001.0,1129.0,25856.65,210.21666666666667,138.27085561497327,0.10894596988485385,0.00023276630452266823
2月24日11点,2026-02-24 11:00:00,2026-02-24 11:00:11,0 days 00:00:11,0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2月26日7点,2026-02-26 07:00:00,2026-02-26 09:59:59,0 days 02:59:59,136,179.0,445762.0,24524.0,1109.0,24977.26,183.65632352941176,139.53776536312847,0.12263300270513977,0.00030509554425904405
2月26日11点,2026-02-26 11:00:00,2026-02-26 13:59:57,0 days 02:59:57,139,169.0,547171.0,12805.0,1056.0,24958.39,179.55676258992804,147.68278106508876,0.13162878787878787,0.0002540339308918053
2月28日7点,2026-02-28 07:00:00,2026-02-28 09:59:52,0 days 02:59:52,0,103.0,250319.0,16968.0,514.0,14981.74,0.0,145.45378640776698,0.0,0.0
2月28日12点,2026-02-28 12:00:00,2026-02-28 15:00:04,0 days 03:00:04,0,43.0,123966.0,7469.0,230.0,8285.11,0.0,192.67697674418605,0.0,0.0
