session,start_time,end_time,duration,unique_leads,全场景商机数,曝光人数,场观,小风车点击次数,广告消耗,CPL,CPLO,点击转化率,曝光转化率
2月2日8点,2026-02-02 08:00:00,2026-02-02 11:00:12,0 days 03:00:12,17,27.0,33879.0,5586.0,8.0,5625.33,330.90176470588233,208.34555555555556,2.125,0.0005017857669943033
2月2日11点,2026-02-02 11:00:00,2026-02-02 14:00:03,0 days 03:00:03,16,32.0,44552.0,6169.0,325.0,7413.71,463.356875,231.6784375,0.04923076923076923,0.0003591309032142216
2月3日7点,2026-02-03 07:00:00,2026-02-03 10:00:41,0 days 03:00:41,36,59.0,51425.0,9454.0,573.0,8897.36,247.1488888888889,150.8027118644068,0.06282722513089005,0.0007000486144871172
2月3日11点,2026-02-03 11:00:00,2026-02-03 14:00:00,0 days 03:00:00,10,21.0,27555.0,3659.0,209.0,5231.1,523.11,249.10000000000002,0.04784688995215311,0.0003629105425512611
2月4日8点,2026-02-04 08:00:00,2026-02-04 10:59:55,0 days 02:59:55,32,49.0,50889.0,9931.0,487.0,9343.56,291.98625,190.68489795918367,0.06570841889117043,0.0006288195877301578
2月4日11点,2026-02-04 11:00:00,2026-02-04 14:00:09,0 days 03:00:09,14,26.0,30170.0,4235.0,191.0,5246.46,374.7471428571429,201.78692307692307,0.07329842931937172,0.0004640371229698376
2月5日8点,2026-02-05 08:00:00,2026-02-05 11:01:24,0 days 03:01:24,17,32.0,34068.0,6871.0,398.0,5938.06,349.29764705882354,185.564375,0.04271356783919598,0.000499001996007984
2月5日12点,2026-02-05 12:00:00,2026-02-05 15:00:07,0 days 03:00:07,16,28.0,24520.0,3205.0,249.0,4381.16,273.8225,156.47,0.0642570281124498,0.0006525285481239804
2月6日8点,2026-02-06 08:00:00,2026-02-06 11:00:12,0 days 03:00:12,27,46.0,48787.0,7765.0,424.0,8753.49,324.2033333333333,190.29326086956522,0.06367924528301887,0.0005534261176132986
2月6日11点,2026-02-06 11:00:00,2026-02-06 14:00:10,0 days 03:00:10,23,36.0,42718.0,5150.0,265.0,7044.47,306.2813043478261,195.67972222222224,0.08679245283018867,0.0005384147197902523
2月7日8点,2026-02-07 08:00:00,2026-02-07 11:00:14,0 days 03:00:14,36,64.0,54397.0,10727.0,417.0,9913.9,275.3861111111111,154.9046875,0.08633093525179857,0.0006618012022721841
2月7日12点,2026-02-07 12:00:00,2026-02-07 15:00:13,0 days 03:00:13,22,35.0,41617.0,4686.0,248.0,7539.24,342.69272727272727,215.40685714285715,0.08870967741935484,0.0005286301271115169
2月9日8点,2026-02-09 08:00:00,2026-02-09 10:59:59,0 days 02:59:59,25,48.0,75064.0,15187.0,62.0,8139.58,325.5832,169.57458333333332,0.4032258064516129,0.0003330491314078653
2月9日12点,2026-02-09 12:00:00,2026-02-09 14:59:53,0 days 02:59:53,11,31.0,24545.0,3250.0,304.0,6334.71,575.8827272727273,204.34548387096774,0.03618421052631579,0.0004481564473416174
2月11日8点,2026-02-11 08:00:00,2026-02-11 11:00:15,0 days 03:00:15,29,54.0,62066.0,9296.0,353.0,8686.9,299.548275862069,160.8685185185185,0.0821529745042493,0.000467244546128315
2月11日11点,2026-02-11 11:00:00,2026-02-11 14:00:15,0 days 03:00:15,10,41.0,43554.0,4215.0,252.0,6037.32,603.732,147.25170731707317,0.03968253968253968,0.0002296000367360059
2月13日7点,2026-02-13 07:00:00,2026-02-13 10:00:05,0 days 03:00:05,27,72.0,140242.0,25581.0,578.0,12649.16,468.4874074074074,175.68277777777777,0.04671280276816609,0.00019252435076510602
2月13日11点,2026-02-13 11:00:00,2026-02-13 14:00:06,0 days 03:00:06,34,56.0,116737.0,15097.0,370.0,11040.47,324.7197058823529,197.15124999999998,0.0918918918918919,0.0002912529874846878
2月25日7点,2026-02-25 07:00:00,2026-02-25 10:00:06,0 days 03:00:06,50,88.0,216300.0,35497.0,461.0,15634.56,312.6912,177.66545454545454,0.10845986984815618,0.0002311604253351826
2月25日11点,2026-02-25 11:00:00,2026-02-25 14:00:25,0 days 03:00:25,58,83.0,259045.0,24325.0,490.0,18014.87,310.60120689655173,217.0466265060241,0.11836734693877551,0.00022389932251153276
2月27日7点,2026-02-27 07:00:00,2026-02-27 10:00:02,0 days 03:00:02,0,55.0,171459.0,17638.0,391.0,11788.44,0.0,214.33527272727272,0.0,0.0
2月27日11点,2026-02-27 11:00:00,2026-02-27 14:00:29,0 days 03:00:29,0,74.0,137704.0,14232.0,370.0,14643.78,0.0,197.88891891891893,0.0,0.0
2月28日7点,2026-02-28 07:00:00,2026-02-28 10:00:05,0 days 03:00:05,0,70.0,103389.0,14444.0,417.0,11325.86,0.0,161.798,0.0,0.0
2月28日11点,2026-02-28 11:00:00,2026-02-28 14:00:01,0 days 03:00:01,0,37.0,81955.0,8227.0,257.0,9156.28,0.0,247.46702702702706,0.0,0.0
2月28日17点,2026-02-28 17:00:00,2026-02-28 17:08:01,0 days 00:08:01,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
