lc_small_channel_name,主锁单标记,md5_辅助锁单,Total Contribution,Assist Ratio,Role Assessment
自然客流,33420,10715,44135,0.24277784071598504,Strong Closer (Direct Lock dominant)
APP-试乘试驾,1061,9769,10830,0.9020313942751615,Strong Assister (Assisted Lock dominant)
新媒体-抖音,6625,4190,10815,0.3874248728617661,Balanced Contributor
抖音-矩阵,2167,5367,7534,0.7123705866737456,Strong Assister (Assisted Lock dominant)
意向金,4384,1995,6379,0.31274494434864397,Balanced Contributor
APP,2290,3576,5866,0.6096147289464712,Balanced Contributor
懂车帝卖车通,1797,3739,5536,0.6753973988439307,Balanced Contributor
Popup（门店）,3146,2165,5311,0.4076445113914517,Balanced Contributor
战败激活,661,4535,5196,0.8727867590454196,Strong Assister (Assisted Lock dominant)
小程序留资,937,4250,5187,0.8193560825139773,Strong Assister (Assisted Lock dominant)
用户裂变,2721,2291,5012,0.4571029529130088,Balanced Contributor
易车伙伴网单,1873,2632,4505,0.5842397336293008,Balanced Contributor
活动自然参与,2366,2138,4504,0.4746891651865009,Balanced Contributor
心愿单,910,3077,3987,0.7717582141961374,Strong Assister (Assisted Lock dominant)
汽车之家车商汇,1064,2852,3916,0.72829417773238,Strong Assister (Assisted Lock dominant)
APP行为激活,522,2973,3495,0.8506437768240344,Strong Assister (Assisted Lock dominant)
地推（门店）,1420,2020,3440,0.5872093023255814,Balanced Contributor
懂车帝,1356,1551,2907,0.5335397316821465,Balanced Contributor
门店战败激活,277,2595,2872,0.9035515320334262,Strong Assister (Assisted Lock dominant)
车展（门店）,1622,1096,2718,0.4032376747608536,Balanced Contributor
直接大定,2336,374,2710,0.13800738007380073,Strong Closer (Direct Lock dominant)
APP留资,848,1584,2432,0.6513157894736842,Balanced Contributor
易车,1348,1005,2353,0.42711432214194645,Balanced Contributor
总部孵化线索,105,2131,2236,0.9530411449016101,Strong Assister (Assisted Lock dominant)
微信小程序-试乘试驾,702,1344,2046,0.656891495601173,Balanced Contributor
直播基地-N个点子,528,1513,2041,0.7413032827045566,Strong Assister (Assisted Lock dominant)
易车伙伴400,510,1486,1996,0.7444889779559118,Strong Assister (Assisted Lock dominant)
腾讯ADQ-聚胜,573,1364,1937,0.7041817243159525,Strong Assister (Assisted Lock dominant)
IM智己汽车,472,1373,1845,0.7441734417344174,Strong Assister (Assisted Lock dominant)
新媒体-小红书,894,894,1788,0.5,Balanced Contributor
小红书私信,328,1443,1771,0.8147939017504235,Strong Assister (Assisted Lock dominant)
汽车之家,713,1022,1735,0.5890489913544669,Balanced Contributor
总部孵化,320,1046,1366,0.7657393850658858,Strong Assister (Assisted Lock dominant)
车主活动推荐,866,293,1159,0.2528041415012942,Strong Closer (Direct Lock dominant)
字节APP,690,432,1122,0.3850267379679144,Balanced Contributor
品牌投放-百度购车宝,678,284,962,0.29521829521829523,Strong Closer (Direct Lock dominant)
直播客服,309,640,949,0.6743940990516333,Balanced Contributor
小红书-矩阵,160,709,869,0.8158803222094362,Strong Assister (Assisted Lock dominant)
汽车之家车商汇400,272,560,832,0.6730769230769231,Balanced Contributor
智己汽车官方直播,248,538,786,0.6844783715012722,Balanced Contributor
直播基地-吉生活,171,534,705,0.7574468085106383,Strong Assister (Assisted Lock dominant)
腾讯ADQ-新意,205,460,665,0.6917293233082706,Balanced Contributor
LS6-66度客户激活,8,632,640,0.9875,Strong Assister (Assisted Lock dominant)
懂车帝卖车通-400,195,431,626,0.6884984025559105,Balanced Contributor
腾讯ADQ-海南明舟,138,450,588,0.7653061224489796,Strong Assister (Assisted Lock dominant)
直播基地-梦想驾,317,271,588,0.4608843537414966,Balanced Contributor
易车-效果,194,313,507,0.6173570019723866,Balanced Contributor
IM智己|未来智舱,127,345,472,0.7309322033898306,Strong Assister (Assisted Lock dominant)
邀请落地页-试乘试驾,48,351,399,0.8796992481203008,Strong Assister (Assisted Lock dominant)
车展,73,291,364,0.7994505494505495,Strong Assister (Assisted Lock dominant)
直播基地-新华网,122,239,361,0.6620498614958449,Balanced Contributor
智己生活家,118,239,357,0.6694677871148459,Balanced Contributor
私人管家,96,221,317,0.6971608832807571,Balanced Contributor
品牌投放-微信搜一搜,157,155,312,0.4967948717948718,Balanced Contributor
异地线索,47,229,276,0.8297101449275363,Strong Assister (Assisted Lock dominant)
B站效果应用推广,159,107,266,0.40225563909774437,Balanced Contributor
微信视频号-直播,115,148,263,0.5627376425855514,Balanced Contributor
信息流-短视频,72,173,245,0.7061224489795919,Strong Assister (Assisted Lock dominant)
品牌投放-懂车帝,48,182,230,0.7913043478260869,Strong Assister (Assisted Lock dominant)
IM智己达人车主种草,99,129,228,0.5657894736842105,Balanced Contributor
懂车帝生服,14,201,215,0.9348837209302325,Strong Assister (Assisted Lock dominant)
JD汽车,137,77,214,0.3598130841121495,Balanced Contributor
腾讯ADQ-盘龙,49,143,192,0.7447916666666666,Strong Assister (Assisted Lock dominant)
直播基地-云梯,52,138,190,0.7263157894736842,Strong Assister (Assisted Lock dominant)
直播基地-祥隆,27,159,186,0.8548387096774194,Strong Assister (Assisted Lock dominant)
400留资,46,138,184,0.75,Strong Assister (Assisted Lock dominant)
商圈主动拓客,86,95,181,0.5248618784530387,Balanced Contributor
新媒体-视频号,97,45,142,0.31690140845070425,Balanced Contributor
官网-试乘试驾,62,74,136,0.5441176470588235,Balanced Contributor
品牌投放-爱卡汽车,111,19,130,0.14615384615384616,Strong Closer (Direct Lock dominant)
品牌投放-抖音,29,96,125,0.768,Strong Assister (Assisted Lock dominant)
直播基地-星星,42,73,115,0.6347826086956522,Balanced Contributor
