直播业务分组,lc_small_channel_name,Md5 Clue 总数,lc_user_phone_md5 不同计数,md5_辅助锁单,主锁单标记,Total Contribution,Assist Ratio,Global Direct Share,Global Assisted Share
A,直播基地-N个点子,231819,136611,1513,528,2041,0.7413032827045566,0.006042710979880519,0.014868902079484256
A,IM智己汽车,154035,83944,1373,472,1845,0.7441734417344174,0.005401817391105313,0.013493061834191595
A,直播客服,92490,37325,640,309,949,0.6743940990516333,0.003536359266634622,0.006289555407052164
A,智己汽车官方直播,117314,64262,538,248,786,0.6844783715012722,0.002838243036004486,0.005287157514053225
A,直播基地-吉生活,122254,56047,534,171,705,0.7574468085106383,0.001957014351438577,0.005247847792759149
A,IM智己|未来智舱,107844,63203,345,127,472,0.7309322033898306,0.0014534551031152006,0.003390463461614057
A,直播基地-梦想驾,168202,69553,271,317,588,0.4608843537414966,0.0036279154936025085,0.0026632336176736506
A,直播基地-新华网,62132,38265,239,122,361,0.6620498614958449,0.0013962324612602714,0.0023487558473210424
A,直播基地-祥隆,34075,17395,159,27,186,0.8548387096774194,0.00030900226601661743,0.001562561421439522
A,微信视频号-直播,8281,3418,148,115,263,0.5627376425855514,0.0013161207626633707,0.0014544596878808128
A,直播基地-云梯,60425,18860,138,52,190,0.7263157894736842,0.0005951154752912633,0.0013561853846456228
A,IM智己达人车主种草,2275,627,129,99,228,0.5657894736842105,0.0011330083087275973,0.001267738511733952
A,直播基地-星星,44376,11197,73,42,115,0.6347826086956522,0.0004806701915814049,0.0007174024136168875
A,直播基地-嘉鹿,16416,7462,68,31,99,0.6868686868686869,0.00035478037950056077,0.0006682652619992924
A,直播基地-蓝思,13626,7048,52,35,87,0.5977011494252874,0.0004005584929845041,0.0005110263768229883
A,抖音达人直播,6078,2736,11,2,13,0.8461538461538461,2.2889056741971663e-05,0.00010810173355870907
A,B站-直播,374,129,5,3,8,0.625,3.433358511295749e-05,4.913715161759503e-05
A,快手直播,15645,9865,4,3,7,0.5714285714285714,3.433358511295749e-05,3.930972129407603e-05
A,团购-智己官方直播间,2,1,0,0,0,0.0,0.0,0.0
A,矩阵号直播,705,361,0,0,0,0.0,0.0,0.0
A,视频号-智己汽车官方直播间,13,3,0,0,0,0.0,0.0,0.0
